ID,target
000137c73,3676335.6692241374
00021489f,2111295.225566958
0004d7953,1590406.0933477238
00056a333,3124707.174997121
00056d8eb,2844350.2728780378
0005fc190,874827.2777233024
000787e86,2244328.468258791
0008510a0,3014204.477754373
000895faf,1831542.5442054707
000986fba,1541373.2950404019
0009efcc5,1176124.524405472
000dd8f00,5170202.401810132
000e1cdc2,1512336.8598156734
00103739c,653188.137255359
00134b367,3396149.9140214236
001788d0d,923789.2369235494
0019c8ad7,1156620.2305912739
001a267b9,1059370.883602229
001a85486,1071900.3713497906
001c4de06,1307872.5578560377
001f9014b,2414717.9592495044
00216fb94,1429225.9348392724
00235690e,3734916.512653799
00240739d,4003972.982376594
0024c3747,1093367.5892339207
00297052d,1801804.1449970906
002ab8f85,1869817.8384924063
002bed5c0,1383165.620516153
002bf3974,2850810.9922833517
002d23a26,3198125.356371131
002f27de9,2901903.1922951634
0030d8bb4,2353233.9470999506
003146acd,1953589.2055059257
003223263,1348078.6537095567
00335575e,1631844.5101130623
00337cf9d,1743294.2859453512
003394397,1155257.2004914088
0036358a3,1856095.1110866598
003770d30,2433110.842780904
003bed5ea,1855697.2004391837
003ea6427,1385200.2973169186
003ef8132,2114451.2085302705
003fd1723,1167627.1806087776
0041861b4,317433.1837184188
0042b718b,2149996.249497308
004381d8f,1672591.212202231
0043ca764,2560932.603396189
004486837,1201253.9753656853
0045c123e,1762716.2499086224
0048915c6,4227251.023564318
004ab9a09,1362595.7517257254
004b2e1c9,2655048.9163042232
004c54732,841663.1058830689
004cdefce,5831470.429584837
004dd971b,2086311.6340633412
004f9329b,3489989.5195153216
004fd2bca,1113380.9043476079
0054bfedb,778883.436787533
0054ec58a,313572.7750747505
00551f45d,6000145.584907576
005777b4c,2804134.439819975
00578d6ea,1387453.3940142565
005802488,1969161.1467835156
0059833b6,820521.0504301188
005a70085,1248230.233741568
005b148a0,4744565.827859092
005c28df4,1260213.244634186
005f8dc26,2862106.2608329942
00603c202,3199774.0253143553
006049609,3420085.7619951563
00612f47e,4344015.06852064
00647a57f,3222649.7891715695
0065853ee,3283479.3778197886
006589d5e,501322.19181434123
006598823,2313914.8032559184
0065c093c,1321907.1238033623
006738351,750436.0616311026
006a0c6a8,1584895.8516200157
006e9efe6,1536969.8830338912
006f029d3,1932856.9044755674
0070f35a2,1916517.300623982
007135f85,3142172.4042863925
007285433,5584861.540690553
00735e101,1136704.9331573267
0074ecf4e,2794423.8016447634
007635fa9,1790261.7650888716
007723613,3019228.3213244122
007867da9,4568863.5026917085
0078bfbd6,792883.8622438924
0078ce229,4638745.164470289
007a89d50,726991.9137952719
007d43dfa,2346191.1765442225
007ee9e05,2100719.713299202
007ffeae2,1537045.5622221194
00835c85c,2065374.8852110403
0084b08f1,1816268.7174610076
0087fb290,4306744.975529129
0088a96bd,1395851.1469327528
008ac4292,1819884.3583648014
008d8cca8,4076772.8297899007
008e07b8c,1989431.1634698971
008e5e25a,4137087.330894176
0094edcdb,1476868.3643234172
00950141c,2493209.8942170776
009566ef1,2308244.9588329354
0095c81d4,4566548.4892697865
0097a6ed4,2515971.8812942365
0098fef9a,1000993.9591829516
009b321ec,2998241.176991345
009cd681e,819011.3362924028
009f34f86,2226153.688624531
009f35cd3,647667.4013177799
009f65109,2319246.990247817
00a19014a,1552503.633650252
00a27e76a,766230.0496966628
00a3b6ef7,2647180.0332272523
00a427603,1499606.8492716686
00a6dc8be,2387878.494754576
00a811734,4678594.338585702
00a8f58a7,4335881.668809827
00aaae151,1306795.6620320128
00ab17f67,3469533.5664465157
00ac2d3a5,1609509.9111427246
00adab1b6,1442080.4262774426
00aef0d56,2089476.6145321613
00b0b06c4,744450.265774049
00b0e2303,1543169.9399373687
00b1fbbc9,565389.389980321
00b43e0c1,3682263.792734866
00b7190a8,3940723.4435561993
00b722e1b,1058872.0470649716
00bba815f,1715512.459526238
00bbb1c42,2837917.5916869137
00bc2b665,1877819.5719792359
00bc35689,1737964.1524847862
00be23f52,2414046.7710072864
00be24ac5,2969990.4016762883
00bfd0f70,2368794.9534010566
00c02f73e,1595415.1509327851
00c08e5b3,1396282.5403619115
00c8690ff,2556457.1630446496
00c8df4d5,1620984.3343244013
00c8e30de,1599178.1419869298
00ca3fb04,1182653.5225704857
00cabf621,3590961.536591612
00cb48ae3,1623677.585030593
00cb6b147,1763153.161782793
00cc91a22,2058350.7013935605
00cd65e9d,2151444.864288284
00cd7d6a8,542319.5607369323
00cdc1483,4712116.713570409
00ce9bea5,1606503.9129964423
00cea0091,2861838.2468343996
00cea68c6,2410268.152479658
00d5a5975,1549287.0572846094
00d80a3a4,12348957.984495983
